dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.343295,3.795865,8.160158,8.446007,-5.090947,6.409601,0.916572
0.020000,7.443116,3.929657,8.327085,8.346326,-4.984086,5.343044,0.942972
0.020000,7.538287,4.064406,8.492055,8.248496,-4.891466,4.630984,0.968692
0.020000,7.628938,4.199924,8.655096,8.152074,-4.821115,3.517556,0.993703
0.020000,7.715200,4.336023,8.816231,8.056729,-4.767272,2.692121,1.017981
0.020000,7.797211,4.472525,8.975474,7.962167,-4.728059,1.960661,1.041513
0.020000,7.875107,4.609252,9.132834,7.867977,-4.709498,0.928060,1.064289
0.020000,7.949028,4.746036,9.288314,7.774013,-4.698198,0.565003,1.086305
0.020000,8.019113,4.882713,9.441913,7.679972,-4.702064,-0.193295,1.107562
0.020000,8.085504,5.019128,9.593626,7.585605,-4.718365,-0.815038,1.128068
0.020000,8.148341,5.155130,9.743442,7.490842,-4.738135,-0.988531,1.147830
0.020000,8.207761,5.290579,9.891351,7.395444,-4.769887,-1.587569,1.166862
0.020000,8.263902,5.425338,10.037338,7.299328,-4.805830,-1.797189,1.185178
0.020000,8.316900,5.559282,10.181385,7.202355,-4.848651,-2.141035,1.202796
0.020000,8.366888,5.692289,10.323475,7.104527,-4.891387,-2.136783,1.219733
0.020000,8.413995,5.824246,10.463589,7.005655,-4.943595,-2.610411,1.236011
0.020000,8.458350,5.955046,10.601704,6.905792,-4.993150,-2.477737,1.251649
0.020000,8.500077,6.084592,10.737805,6.805020,-5.038621,-2.273571,1.266668
0.020000,8.539295,6.212788,10.871866,6.703053,-5.098333,-2.985604,1.281090
0.020000,8.576125,6.339549,11.003869,6.600164,-5.144431,-2.304876,1.294936
0.020000,8.610678,6.464795,11.133794,6.496242,-5.196125,-2.584696,1.308227
0.020000,8.643065,6.588449,11.261618,6.391219,-5.251129,-2.750222,1.320984
0.020000,8.673393,6.710442,11.387325,6.285323,-5.294797,-2.183401,1.333227
0.020000,8.701765,6.830707,11.510891,6.178310,-5.350661,-2.793192,1.344976
0.020000,8.728279,6.949186,11.632301,6.070489,-5.391075,-2.020712,1.356251
0.020000,8.753031,7.065821,11.751534,5.961644,-5.442221,-2.557296,1.367070
0.020000,8.776113,7.180563,11.868574,5.852001,-5.482152,-1.996546,1.377452
0.020000,8.797613,7.293362,11.983403,5.741479,-5.526108,-2.197799,1.387413
0.020000,8.817616,7.404174,12.096007,5.630180,-5.564942,-1.941696,1.396970
0.020000,8.836203,7.512959,12.206368,5.518068,-5.605610,-2.033391,1.406140
0.020000,8.853452,7.619680,12.314474,5.405265,-5.640172,-1.728124,1.414937
0.020000,8.869437,7.724299,12.420307,5.291661,-5.680199,-2.001318,1.423376
0.020000,8.884231,7.826787,12.523857,5.177526,-5.706715,-1.325796,1.431472
0.020000,8.897902,7.927110,12.625108,5.062534,-5.749623,-2.145444,1.439236
0.020000,8.910515,8.025245,12.724050,4.947107,-5.771328,-1.085214,1.446682
0.020000,8.922132,8.121164,12.820670,4.830998,-5.805458,-1.706508,1.453822
0.020000,8.932815,8.214844,12.914957,4.714350,-5.832412,-1.347723,1.460667
0.020000,8.942620,8.306266,13.006903,4.597297,-5.852624,-1.010592,1.467228
0.020000,8.951601,8.395407,13.096496,4.479624,-5.883647,-1.551162,1.473515
0.020000,8.959811,8.482249,13.183725,4.361462,-5.908120,-1.223653,1.479538
0.020000,8.967300,8.566777,13.268584,4.242950,-5.925598,-0.873881,1.485306
0.020000,8.974115,8.648973,13.351062,4.123888,-5.953100,-1.375084,1.490827
0.020000,8.980302,8.728823,13.431152,4.004503,-5.969269,-0.808475,1.496111
0.020000,8.985903,8.806317,13.508848,3.884801,-5.985097,-0.791384,1.501164
0.020000,8.990960,8.881441,13.584141,3.764682,-6.005963,-1.043314,1.505995
0.020000,8.995511,8.954181,13.657024,3.644134,-6.027390,-1.071315,1.510609
0.020000,8.999595,9.024531,13.727492,3.523396,-6.036875,-0.474292,1.515014
0.020000,9.003245,9.092479,13.795538,3.402296,-6.055026,-0.907507,1.519216
0.020000,9.006497,9.158015,13.861154,3.280838,-6.072901,-0.893779,1.523220
0.020000,9.009381,9.221136,13.924342,3.159357,-6.074047,-0.057293,1.527033
0.020000,9.011929,9.281828,13.985087,3.037278,-6.103928,-1.494075,1.530660
0.020000,9.014168,9.340090,14.043392,2.915226,-6.102584,0.067247,1.534104
0.020000,9.016125,9.395913,14.099249,2.792872,-6.117742,-0.757919,1.537372
0.020000,9.017827,9.449292,14.152655,2.670285,-6.129343,-0.580069,1.540467
0.020000,9.019298,9.500221,14.203606,2.547536,-6.137442,-0.404927,1.543393
0.020000,9.020560,9.548698,14.252098,2.424644,-6.144604,-0.358097,1.546154
0.020000,9.021634,9.594712,14.298125,2.301348,-6.164770,-1.008289,1.548754
0.020000,9.022541,9.638266,14.341689,2.178180,-6.158424,0.317260,1.551196
0.020000,9.023299,9.679355,14.382785,2.054778,-6.170077,-0.582626,1.553483
0.020000,9.023926,9.717972,14.421407,1.931113,-6.183271,-0.659698,1.555618
0.020000,9.024439,9.754117,14.457555,1.807425,-6.184381,-0.055527,1.557604
0.020000,9.024852,9.787784,14.491226,1.683511,-6.195744,-0.568117,1.559443
