dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.261379,3.137168,10.591046,10.587896,-8.275931,-3.657192,0.993703
0.020000,9.372960,3.313210,10.799472,10.421297,-8.329920,-2.699490,1.017981
0.020000,9.478578,3.489001,11.004552,10.253998,-8.364971,-1.752521,1.041513
0.020000,9.578436,3.664274,11.206275,10.086159,-8.391945,-1.348722,1.064289
0.020000,9.672747,3.838785,11.404640,9.918218,-8.397052,-0.255318,1.086305
0.020000,9.761728,4.012307,11.599647,9.750337,-8.394061,0.149525,1.107562
0.020000,9.845600,4.184634,11.791300,9.582676,-8.383009,0.552606,1.128068
0.020000,9.924583,4.355581,11.979611,9.415555,-8.356063,1.347276,1.147830
0.020000,9.998897,4.524977,12.164591,9.249009,-8.327301,1.438127,1.166862
0.020000,10.068760,4.692670,12.346256,9.083210,-8.289958,1.867125,1.185178
0.020000,10.134385,4.858523,12.524620,8.918206,-8.250183,1.988775,1.202796
0.020000,10.195981,5.022414,12.699703,8.754170,-8.201836,2.417321,1.219733
0.020000,10.253750,5.184231,12.871523,8.590991,-8.158913,2.146193,1.236011
0.020000,10.307887,5.343878,13.040099,8.428824,-8.108353,2.527971,1.251649
0.020000,10.358584,5.501271,13.205456,8.267821,-8.050189,2.908192,1.266668
0.020000,10.406022,5.656330,13.367609,8.107659,-8.008058,2.106569,1.281090
0.020000,10.450377,5.808990,13.526582,7.948674,-7.949277,2.939029,1.294936
0.020000,10.491816,5.959193,13.682397,7.790711,-7.898145,2.556636,1.308227
0.020000,10.530500,6.106884,13.835070,7.633660,-7.852555,2.279479,1.320984
0.020000,10.566582,6.252021,13.984625,7.477747,-7.795641,2.845689,1.333227
0.020000,10.600209,6.394561,14.131077,7.322628,-7.755960,1.984047,1.344976
0.020000,10.631520,6.534473,14.274450,7.168608,-7.700997,2.748183,1.356251
0.020000,10.660647,6.671723,14.414757,7.015366,-7.662074,1.946112,1.367070
0.020000,10.687718,6.806289,14.552019,6.863098,-7.613436,2.431903,1.377452
0.020000,10.712851,6.938148,14.686252,6.711634,-7.573178,2.012899,1.387413
0.020000,10.736161,7.067281,14.817472,6.561022,-7.530615,2.128196,1.396970
0.020000,10.757757,7.193673,14.945695,6.411144,-7.493895,1.835955,1.406140
0.020000,10.777740,7.317309,15.070936,6.262069,-7.453759,2.006804,1.414937
0.020000,10.796209,7.438179,15.193208,6.113597,-7.423580,1.508954,1.423376
0.020000,10.813256,7.556274,15.312528,5.965970,-7.381345,2.111787,1.431472
0.020000,10.828969,7.671583,15.428902,5.818741,-7.361469,0.993755,1.439236
0.020000,10.843431,7.784104,15.542349,5.672330,-7.320545,2.046237,1.446682
0.020000,10.856721,7.893830,15.652877,5.526387,-7.297159,1.169286,1.453822
0.020000,10.868914,8.000757,15.760497,5.381013,-7.268666,1.424626,1.460667
